in:124 out:124 type:P q:0.00 q-aq:0.00 q-noVbv:-6.92 q-Rceq:1.08 tex:5511 mv:203 misc:282 icu:4.50 pcu:27.75 scu:1791.75 ;
in:125 out:125 type:P q:0.00 q-aq:0.00 q-noVbv:-6.99 q-Rceq:1.08 tex:45020 mv:996 misc:588 icu:25.50 pcu:78.25 scu:1720.25 ;
in:129 out:126 type:P q:0.00 q-aq:0.00 q-noVbv:-7.01 q-Rceq:1.08 tex:77494 mv:1747 misc:724 icu:36.00 pcu:98.50 scu:1689.50 ;
in:127 out:127 type:B q:1.14 q-aq:0.76 q-noVbv:1.14 q-Rceq:1.08 tex:39930 mv:1319 misc:554 icu:22.50 pcu:78.50 scu:1723.00 ;
in:126 out:128 type:b q:2.27 q-aq:1.92 q-noVbv:2.27 q-Rceq:1.08 tex:10831 mv:462 misc:474 icu:1.50 pcu:67.25 scu:1755.25 ;
in:128 out:129 type:b q:2.27 q-aq:1.91 q-noVbv:2.27 q-Rceq:1.08 tex:32096 mv:895 misc:550 icu:24.25 pcu:68.50 scu:1731.25 ;
in:134 out:130 type:P q:0.00 q-aq:0.00 q-noVbv:-7.14 q-Rceq:1.08 tex:43592 mv:1047 misc:461 icu:25.25 pcu:64.00 scu:1734.75 ;
in:132 out:131 type:B q:1.14 q-aq:1.08 q-noVbv:1.14 q-Rceq:1.08 tex:1001 mv:115 misc:320 icu:0.00 pcu:57.00 scu:1767.00 ;
in:130 out:132 type:b q:2.27 q-aq:2.04 q-noVbv:2.27 q-Rceq:1.08 tex:3172 mv:235 misc:386 icu:0.75 pcu:30.50 scu:1792.75 ;
in:131 out:133 type:b q:2.27 q-aq:2.03 q-noVbv:2.27 q-Rceq:1.08 tex:2943 mv:143 misc:338 icu:0.50 pcu:43.25 scu:1780.25 ;
in:133 out:134 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:1200 mv:110 misc:299 icu:4.00 pcu:37.50 scu:1782.50 ;
in:136 out:135 type:P q:0.00 q-aq:0.00 q-noVbv:-7.42 q-Rceq:1.08 tex:945 mv:68 misc:289 icu:0.00 pcu:18.00 scu:1806.00 ;
in:135 out:136 type:b q:2.27 q-aq:1.99 q-noVbv:2.27 q-Rceq:1.08 tex:842 mv:51 misc:222 icu:0.00 pcu:24.00 scu:1800.00 ;
in:141 out:137 type:P q:0.00 q-aq:0.00 q-noVbv:-7.54 q-Rceq:1.08 tex:12721 mv:445 misc:381 icu:6.25 pcu:58.25 scu:1759.50 ;
in:139 out:138 type:B q:1.14 q-aq:0.95 q-noVbv:1.14 q-Rceq:1.08 tex:5072 mv:391 misc:361 icu:1.75 pcu:59.25 scu:1763.00 ;
in:137 out:139 type:b q:2.27 q-aq:1.86 q-noVbv:2.27 q-Rceq:1.08 tex:925 mv:119 misc:281 icu:5.00 pcu:26.00 scu:1793.00 ;
in:138 out:140 type:b q:2.27 q-aq:1.86 q-noVbv:2.27 q-Rceq:1.08 tex:4972 mv:282 misc:325 icu:0.00 pcu:50.00 scu:1774.00 ;
in:140 out:141 type:b q:2.27 q-aq:1.70 q-noVbv:2.27 q-Rceq:1.08 tex:3749 mv:245 misc:324 icu:4.25 pcu:17.50 scu:1802.25 ;
in:145 out:142 type:P q:0.00 q-aq:0.00 q-noVbv:-7.82 q-Rceq:1.08 tex:40492 mv:1475 misc:394 icu:35.00 pcu:44.25 scu:1744.75 ;
